,word,label
321,格纹元素,0
3,格纹元素,0
689,这款卫衣,1
1096,这款卫衣,1
1252,丰富衣身,2
1253,衬衫裙,3
1251,袖型,4
1241,活力气息,5
1247,时尚元素,6
1250,印花连衣裙,7
1249,丰富整体,8
1233,清新甜美,9
1244,衬衫翻领,10
1209,肩型,11
1235,舒适又,12
1242,个性时尚,13
1245,不简单,14
1238,就很,15
1248,都很,16
1232,v型,17
1236,更加舒适,18
1206,也更加,19
1223,小细节,20
1192,又很,21
1229,印花元素,22
1165,舒适自然,23
1161,与衣身,24
1221,上身更加,25
1230,身材线条,26
1240,为衣身,27
1226,简约又,28
1243,腰型,29
1185,与活力,30
1194,优雅又,31
1227,也不,32
1228,优雅浪漫,33
1246,牛仔衬衫,34
1222,小外套,35
1189,给整体,36
1218,时尚大方,37
1231,简约时尚,38
1199,将你,39
1203,很高,40
1202,时尚单,41
1214,条纹衬衫,42
1167,自然腰,43
1191,都非常,44
1172,活力十足,45
1180,裙型,46
1133,精致利落,47
1145,很舒适,48
1160,这款短裤,49
1139,腰身线条,50
1212,文艺气质,51
1220,舒适不,52
1219,而不,53
1166,这款牛仔,54
1092,效果也,55
1239,甜美气质,56
1224,又不,57
1187,与时尚,58
1210,甜美风,59
1234,上身很,60
1179,这款风衣,61
1112,这款裤子,62
1087,穿着不,63
1126,裙摆处,64
1225,更方便,65
1217,袖口和,66
1124,却又,67
1200,蕾丝裙,68
1204,蕾丝连衣裙,69
1237,高腰版型,70
1186,吊带连衣裙,71
1216,立体层次感,72
1159,牛仔连衣裙,73
1081,以黑色,74
1193,个性又,75
1205,时尚个性,76
1118,帅气又,77
831,版型更,78
953,更强,79
1184,色印花,80
1201,更加丰富,81
1198,包容性很好,82
1151,都不,83
1158,这款衬衣,84
1213,针织连衣裙,85
1037,性感优雅,86
1162,穿着更,87
1148,非常舒适,88
1023,很精致,89
1177,领口和,90
1015,为你,91
1075,印花面料,92
1157,视觉美感,93
1131,了纯色,94
1104,在细节,95
1129,比较宽松,96
1117,在衣身,97
994,拉链口袋,98
1103,性感锁骨,99
1147,圆领领口,100
1135,性感v,101
1034,独特又,102
1114,蕾丝面料,103
1153,质感十足,104
1215,高又,105
