PhraseId,Sentiment
156061,2
156062,3
156063,2
156064,2
156065,3
156066,3
156067,3
156068,2
156069,4
156070,2
156071,2
156072,2
156073,2
156074,2
156075,2
156076,2
156077,2
156078,2
156079,2
156080,2
156081,2
156082,2
156083,1
156084,2
156085,2
156086,2
156087,2
156088,2
156089,3
156090,2
156091,3
156092,3
156093,3
156094,2
156095,2
156096,2
156097,2
156098,2
156099,2
156100,2
156101,2
156102,2
156103,2
156104,2
156105,2
156106,2
156107,2
156108,2
156109,2
156110,2
156111,2
156112,2
156113,2
156114,2
156115,2
156116,2
156117,2
156118,2
156119,2
156120,2
156121,2
156122,1
156123,3
156124,2
156125,3
156126,2
156127,2
156128,1
156129,2
156130,1
156131,2
156132,1
156133,2
156134,2
156135,2
156136,2
156137,2
156138,1
156139,1
156140,1
156141,1
156142,1
156143,2
156144,2
156145,2
156146,2
156147,2
156148,2
156149,2
156150,2
156151,2
156152,2
156153,2
156154,2
156155,2
156156,2
156157,2
156158,2
156159,2
156160,2
156161,2
156162,2
156163,2
156164,2
156165,2
156166,2
156167,2
156168,2
156169,2
156170,2
156171,1
156172,2
156173,2
156174,1
156175,1
156176,2
156177,2
156178,1
156179,2
156180,1
156181,1
156182,2
156183,2
156184,2
156185,2
156186,2
156187,2
156188,2
156189,2
156190,2
156191,2
156192,2
156193,2
156194,2
156195,2
156196,2
156197,2
156198,2
156199,2
156200,2
156201,2
156202,2
156203,2
156204,2
156205,2
156206,3
156207,1
156208,2
156209,2
156210,1
156211,1
156212,2
156213,2
156214,2
156215,3
156216,2
156217,2
156218,2
156219,4
156220,2
156221,3
156222,3
156223,1
156224,1
156225,1
156226,1
156227,2
156228,2
156229,2
156230,2
156231,2
156232,2
156233,2
156234,2
156235,2
156236,3
156237,2
156238,4
156239,2
156240,3
156241,2
156242,2
156243,3
156244,3
156245,3
156246,3
156247,3
156248,3
156249,2
156250,2
156251,2
156252,2
156253,3
156254,3
156255,3
156256,3
156257,3
156258,2
156259,3
156260,2
156261,2
156262,2
156263,3
156264,3
156265,1
156266,3
156267,2
156268,2
156269,2
156270,2
156271,3
156272,3
156273,2
156274,3
156275,3
156276,3
156277,3
156278,2
156279,2
156280,2
156281,2
156282,3
156283,2
156284,2
156285,2
156286,3
156287,3
156288,4
156289,4
156290,2
156291,2
156292,2
156293,2
156294,2
156295,2
156296,3
156297,2
156298,2
156299,2
156300,2
156301,1
156302,2
156303,2
156304,1
156305,1
156306,2
156307,1
156308,2
156309,2
156310,2
156311,1
156312,2
