,word,label
483,v型领口,0
603,v字领口,0
382,圆形领口,0
911,简洁干练,1
345,简约大方,1
458,简约大气,1
624,简单大方,1
366,简洁利落,1
976,简约利落,1
870,简洁大气,1
170,简洁大方,1
794,简单大气,1
740,以经典,2
1121,了经典,2
908,青春气息,3
504,青春活力气息,3
1241,活力气息,3
338,法式优雅,4
212,法式风情,4
103,甜美感,5
1210,甜美风,5
267,长腿,6
139,大长腿,6
1045,也很,7
1143,也更,7
988,了黑色,8
1131,了纯色,8
343,罗纹袖口,9
261,螺纹袖口,9
236,喇叭袖口,9
689,这款卫衣,10
760,这款西装,10
1071,这款上衣,10
1096,这款卫衣,10
1094,这款外套,10
1179,这款风衣,10
795,这款西装外套,10
987,这款牛仔外套,10
1199,将你,11
449,把你,11
196,纯棉面料,12
422,亚麻面料,12
672,棉面料,12
151,纯棉牛仔面料,12
472,棉麻面料,12
226,棉质面料,12
204,羊毛面料,12
272,丝绒面料,12
105,束口,13
292,裤口,13
788,衬衫上衣,14
711,长袖衬衫,14
912,衬衫连衣裙,14
632,格子衬衫,14
579,短袖衬衫,14
1127,白色衬衫,14
1253,衬衫裙,14
1214,条纹衬衫,14
476,白衬衫,14
1077,印花衬衫,14
678,美观大气,15
1069,精致美观,15
516,既美观又,16
938,又美观,16
1039,美观又,16
950,与潮流,17
1187,与时尚,17
546,丝面料,18
985,网纱面料,18
397,淑女范,19
694,淑女气质,19
524,淑女气息,19
173,淑女风范,19
1082,了身材比例,20
353,身材比例,20
308,身形比例,20
470,花卉印花,21
359,花朵印花,21
915,又十分,22
783,都十分,22
975,也十分,22
179,背带裙,23
419,背心裙,23
215,涤纶面料,24
573,雪纺面料,24
814,针织面料,24
414,梭织面料,24
355,混纺面料,24
270,纤细腰身,25
257,纤细腰肢,25
644,在视觉,26
112,从视觉,26
967,将女性,27
1142,了女性,27
465,把女性,27
901,又非常,28
1191,都非常,28
681,还非常,28
1136,也非常,28
251,浪漫唯美,29
1228,优雅浪漫,29
936,浪漫优雅,29
416,唯美浪漫,29
942,甜美浪漫,29
134,浪漫唯美的,29
759,文艺气息,30
1212,文艺气质,30
661,中长款版型,31
802,短款版型,31
965,优雅迷人,32
1037,性感优雅,32
654,优雅性感,32
827,了裙,33
835,了裤,33
634,了腿,33
635,了衣,33
1182,性感又,34
622,又性感,34
864,性感而,34
1081,以黑色,35
649,黑色与,35
686,与白色,35
940,与黑色,35
639,以白色,35
855,优雅韵味,36
1108,优雅气息,36
1173,优雅魅力,36
655,这款半身裙,37
568,款连衣裙,37
442,这款连衣裙,37
239,本款连衣裙,37
94,卫衣,38
68,连帽卫衣,38
234,套头卫衣,38
331,街头范,39
210,街头风范,39
